,data,temperatura_media_dia,precipitacao_media_dia
0,2019/01/01,26.28,0.0
1,2019/01/02,26.84,0.0
2,2019/01/03,28.86,0.08
3,2019/01/04,25.05,0.93
4,2019/01/05,24.25,0.0
5,2019/01/06,24.32,0.01
6,2019/01/07,27.0,0.03
7,2019/01/08,27.42,0.06
8,2019/01/09,26.46,0.0
9,2019/01/10,27.54,0.0
10,2019/01/11,25.68,0.0
11,2019/01/12,25.67,0.0
12,2019/01/13,25.66,1.16
13,2019/01/14,25.45,1.04
14,2019/01/15,26.59,0.15
15,2019/01/16,27.4,0.48
16,2019/01/17,27.3,0.35
17,2019/01/18,25.8,0.82
18,2019/01/19,26.0,0.93
19,2019/01/20,24.19,0.05
20,2019/01/21,26.49,0.0
21,2019/01/22,26.12,0.0
22,2019/01/23,27.02,0.0
23,2019/01/24,25.78,3.24
24,2019/01/25,25.81,0.17
25,2019/01/26,25.72,0.17
26,2019/01/27,25.52,0.18
27,2019/01/28,26.6,0.01
28,2019/01/29,28.92,0.0
29,2019/01/30,29.25,0.0
30,2019/01/31,29.8,0.0
31,2019/02/01,28.0,0.0
32,2019/02/02,26.39,2.02
33,2019/02/03,23.31,0.31
34,2019/02/04,22.02,0.05
35,2019/02/05,22.25,0.0
36,2019/02/06,22.72,0.0
37,2019/02/07,22.75,0.0
38,2019/02/08,24.69,0.0
39,2019/02/09,26.02,0.0
40,2019/02/10,26.53,0.0
41,2019/02/11,26.22,0.28
42,2019/02/12,25.36,0.06
43,2019/02/13,23.05,0.0
44,2019/02/14,22.37,0.0
45,2019/02/15,20.61,1.13
46,2019/02/16,21.66,0.2
47,2019/02/17,21.25,3.89
48,2019/02/18,24.72,0.75
49,2019/02/19,24.75,0.72
50,2019/02/20,24.49,0.03
51,2019/02/21,23.88,0.08
52,2019/02/22,24.87,0.01
53,2019/02/23,27.32,0.0
54,2019/02/24,27.54,0.17
55,2019/02/25,24.55,0.33
56,2019/02/26,21.62,0.26
57,2019/02/27,21.31,0.36
58,2019/02/28,22.64,0.0
59,2019/03/01,23.51,0.0
60,2019/03/02,25.22,0.0
61,2019/03/03,25.98,0.0
62,2019/03/04,25.73,0.0
63,2019/03/05,26.31,0.01
